302.72,504.54,522.18,300.00
305.69,495.81,532.98,300.00
307.25,491.76,537.96,300.00
308.58,488.52,541.95,300.00
309.80,485.70,545.42,300.00
310.96,483.17,548.55,300.00
312.07,480.85,551.43,300.00
313.15,478.68,554.13,300.00
314.20,476.65,556.68,300.00
315.24,474.73,559.10,300.00
316.26,472.91,561.42,300.00
317.27,471.17,563.64,300.00
318.27,469.51,565.79,300.00
319.25,467.91,567.86,300.00
320.24,466.38,569.87,300.00
321.21,464.91,571.82,300.00
322.18,463.48,573.73,300.00
323.15,462.11,575.58,300.00
324.11,460.78,577.39,300.00
325.07,459.49,579.17,300.00
326.03,458.25,580.90,300.00
326.99,457.04,582.60,300.00
327.94,455.87,584.27,300.00
328.89,454.73,585.91,300.00
329.84,453.63,587.52,300.00
330.79,452.56,589.10,300.00
331.74,451.52,590.66,300.00
332.68,450.51,592.20,300.00
333.63,449.53,593.71,300.00
334.57,448.57,595.20,300.00
335.52,447.64,596.67,300.00
336.46,446.74,598.12,300.00
337.40,445.86,599.56,300.00
338.35,445.00,600.98,300.00
339.29,444.17,602.38,300.00
340.23,443.36,603.76,300.00
341.17,442.57,605.13,300.00
342.12,441.81,606.48,300.00
343.06,441.06,607.82,300.00
344.00,440.34,609.15,300.00
344.94,439.64,610.47,300.00
345.89,438.95,611.77,300.00
346.83,438.29,613.06,300.00
347.77,437.64,614.33,300.00
348.72,437.02,615.60,300.00
349.66,436.41,616.85,300.00
350.60,435.82,618.10,300.00
351.55,435.24,619.33,300.00
352.49,434.69,620.56,300.00
353.44,434.15,621.77,300.00
354.38,433.63,622.98,300.00
355.33,433.12,624.18,300.00
356.28,432.63,625.36,300.00
357.22,432.16,626.54,300.00
358.17,431.71,627.71,300.00
359.12,431.26,628.88,300.00
360.06,430.84,630.03,300.00
361.01,430.43,631.18,300.00
361.96,430.04,632.31,300.00
362.91,429.66,633.45,300.00
363.86,429.29,634.57,300.00
364.81,428.95,635.69,300.00
365.76,428.61,636.80,300.00
366.72,428.29,637.90,300.00
367.67,427.99,639.00,300.00
368.62,427.70,640.09,300.00
369.57,427.42,641.17,300.00
370.53,427.16,642.24,300.00
371.48,426.91,643.31,300.00
372.44,426.68,644.38,300.00
373.39,426.46,645.44,300.00
374.35,426.25,646.49,300.00
375.30,426.06,647.53,300.00
376.26,425.89,648.57,300.00
377.22,425.72,649.60,300.00
378.18,425.57,650.63,300.00
379.14,425.44,651.65,300.00
380.09,425.31,652.67,300.00
381.05,425.20,653.68,300.00
382.01,425.11,654.68,300.00
382.98,425.03,655.68,300.00
383.94,424.96,656.67,300.00
384.90,424.90,657.66,300.00
385.86,424.86,658.64,300.00
386.82,424.84,659.62,300.00
387.79,424.82,660.59,300.00
388.75,424.82,661.55,300.00
389.72,424.84,662.51,300.00
390.68,424.86,663.46,300.00
391.65,424.90,664.41,300.00
392.61,424.96,665.35,300.00
393.58,425.03,666.28,300.00
394.55,425.11,667.21,300.00
395.51,425.21,668.14,300.00
396.48,425.32,669.05,300.00
397.45,425.44,669.97,300.00
398.42,425.58,670.87,300.00
399.39,425.73,671.77,300.00
400.36,425.89,672.66,300.00
401.33,426.07,673.55,300.00
402.30,426.27,674.43,300.00
403.27,426.48,675.30,300.00
404.24,426.70,676.17,300.00
405.21,426.94,677.03,300.00
406.18,427.19,677.88,300.00
407.15,427.46,678.73,300.00
408.12,427.74,679.57,300.00
409.09,428.03,680.40,300.00
410.06,428.35,681.22,300.00
411.03,428.67,682.04,300.00
412.00,429.02,682.85,300.00
412.97,429.37,683.65,300.00
413.95,429.75,684.44,300.00
414.92,430.13,685.22,300.00
415.89,430.54,686.00,300.00
416.86,430.96,686.76,300.00
417.82,431.40,687.52,300.00
418.79,431.85,688.26,300.00
419.76,432.32,689.00,300.00
420.73,432.81,689.73,300.00
421.69,433.31,690.44,300.00
422.66,433.84,691.15,300.00
423.62,434.38,691.84,300.00
424.58,434.93,692.53,300.00
425.55,435.51,693.20,300.00
426.50,436.10,693.86,300.00
427.46,436.71,694.50,300.00
428.42,437.34,695.13,300.00
429.37,437.99,695.75,300.00
430.32,438.66,696.35,300.00
431.27,439.35,696.94,300.00
432.21,440.06,697.51,300.00
433.15,440.79,698.06,300.00
434.08,441.54,698.59,300.00
435.01,442.31,699.11,300.00
